2001-2002,1.0,2001-09-01 00:00:00,2002-01-31 23:59:59,0
2001-2002,2.0,2002-02-01 00:00:00,2002-08-30 23:59:59,0
2002-2003,1.0,2002-09-01 00:00:00,2003-01-31 23:59:59,0
2002-2003,2.0,2003-02-01 00:00:00,2003-08-30 23:59:59,0
2003-2004,1.0,2003-09-01 00:00:00,2004-01-31 23:59:59,0
2003-2004,2.0,2004-02-01 00:00:00,2004-08-30 23:59:59,0
2004-2005,1.0,2004-09-01 00:00:00,2005-01-31 23:59:59,0
2004-2005,2.0,2005-02-01 00:00:00,2005-08-30 23:59:59,0
2005-2006,1.0,2005-09-01 00:00:00,2006-01-31 23:59:59,0
2005-2006,2.0,2006-02-01 00:00:00,2006-08-30 23:59:59,0
2006-2007,1.0,2006-09-01 00:00:00,2007-01-31 23:59:59,0
2006-2007,2.0,2007-02-01 00:00:00,2007-08-30 23:59:59,0
2007-2008,1.0,2007-09-01 00:00:00,2008-01-31 23:59:59,0
2007-2008,2.0,2008-02-01 00:00:00,2008-08-30 23:59:59,0
2008-2009,1.0,2008-09-01 00:00:00,2009-01-31 23:59:59,0
2008-2009,2.0,2009-02-01 00:00:00,2009-08-30 23:59:59,0
2009-2010,1.0,2009-09-01 00:00:00,2010-01-31 23:59:59,0
2009-2010,2.0,2010-02-01 00:00:00,2010-08-30 23:59:59,0
2010-2011,1.0,2010-09-01 00:00:00,2011-01-31 23:59:59,0
2010-2011,2.0,2011-02-01 00:00:00,2011-08-30 23:59:59,0
2011-2012,1.0,2011-09-01 00:00:00,2012-01-31 23:59:59,0
2011-2012,2.0,2012-02-01 00:00:00,2012-08-30 23:59:59,0
2012-2013,1.0,2012-09-01 00:00:00,2013-01-31 23:59:59,0
2012-2013,2.0,2013-02-01 00:00:00,2013-08-30 23:59:59,0
2013-2014,1.0,2013-09-01 00:00:00,2014-01-31 23:59:59,0
2013-2014,2.0,2014-02-01 00:00:00,2014-08-30 23:59:59,0
2014-2015,1.0,2014-09-01 00:00:00,2015-01-31 23:59:59,0
2014-2015,2.0,2015-02-01 00:00:00,2015-08-30 23:59:59,0
2015-2016,1.0,2015-09-01 00:00:00,2016-01-31 23:59:59,0
2015-2016,2.0,2016-02-01 00:00:00,2016-08-30 23:59:59,0
2016-2017,1.0,2016-09-01 00:00:00,2017-01-31 23:59:59,0
2016-2017,2.0,2017-02-01 00:00:00,2017-08-30 23:59:59,0
2017-2018,1.0,2017-09-01 00:00:00,2018-01-31 23:59:59,0
2017-2018,2.0,2018-02-01 00:00:00,2018-08-30 23:59:59,0
2018-2019,1.0,2018-09-01 00:00:00,2019-01-31 23:59:59,0
2018-2019,2.0,2019-02-01 00:00:00,2019-08-30 23:59:59,0
